class_id,class_name,cs_trained,coco_fair,coco_oracle,in_common,pixel_support,pixel_support_pct
0,road,98.4308,0.0000,0.0000,1,345264442,37.6508
1,sidewalk,87.5692,0.0000,0.0000,1,49568652,5.4054
2,building,94.2252,0.0000,0.0000,1,201005428,21.9195
3,wall,66.8130,0.0000,0.0000,1,6718315,0.7326
4,fence,66.5013,0.0000,0.0000,1,7521741,0.8202
5,pole,71.3873,0.0000,0.0000,0,13565658,1.4793
6,tlight,75.4274,0.0000,0.0000,1,1808393,0.1972
7,tsign,82.7256,0.0000,0.0000,0,6098373,0.6650
8,vegetation,93.1811,0.0000,0.0000,1,158868008,17.3244
9,terrain,67.7801,0.0000,0.0000,1,7625026,0.8315
10,sky,95.5860,0.0000,0.0000,1,30765347,3.3549
11,person,85.6878,0.0000,0.0000,1,11913424,1.2991
12,rider,71.7744,0.0000,0.0000,0,1975596,0.2154
13,car,95.7003,0.0000,0.0000,1,59731217,6.5136
14,truck,84.7661,0.0000,0.0000,1,2760211,0.3010
15,bus,90.2517,0.0000,0.0000,1,3563120,0.3886
16,train,77.2825,0.0000,0.0000,0,1031648,0.1125
17,motorcycle,74.7729,0.0000,0.0000,1,729415,0.0795
18,bicycle,81.3731,0.0000,0.0000,1,6504475,0.7093
