class_id,class_name,cs_trained,coco_fair,coco_oracle,in_common,pixel_support,pixel_support_pct
0,road,98.4286,93.9357,94.0667,1,345264442,37.6508
1,sidewalk,87.5508,64.0888,64.1163,1,49568652,5.4054
2,building,94.1946,83.5398,85.3754,1,201005428,21.9195
3,wall,67.0037,48.2759,48.3464,1,6718315,0.7326
4,fence,66.3977,42.1167,43.4318,1,7521741,0.8202
5,pole,71.2256,0.0460,0.0464,0,13565658,1.4793
6,tlight,75.3238,46.9539,47.0489,1,1808393,0.1972
7,tsign,82.6195,4.1193,4.3976,0,6098373,0.6650
8,vegetation,93.1265,85.1885,85.2911,1,158868008,17.3244
9,terrain,67.7461,54.0881,54.1632,1,7625026,0.8315
10,sky,95.5718,87.8371,87.8600,1,30765347,3.3549
11,person,85.6139,61.9177,64.0745,1,11913424,1.2991
12,rider,71.8399,12.4477,12.7022,0,1975596,0.2154
13,car,95.7192,80.9840,81.0283,1,59731217,6.5136
14,truck,84.9168,28.8714,28.8790,1,2760211,0.3010
15,bus,90.3897,60.4200,60.4247,1,3563120,0.3886
16,train,77.4070,0.0006,0.0006,0,1031648,0.1125
17,motorcycle,74.6290,53.2648,53.3106,1,729415,0.0795
18,bicycle,81.1081,63.3648,63.8720,1,6504475,0.7093
